場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,7R,3-1-2,5.16,43.2,223.0
宮島,5R,3-4-1,3.11,71.7,223.0
津,6R,4-1-2,4.44,50.2,222.9
多摩川,12R,1-5-4,4.32,51.6,222.8
鳴門,5R,2-1-3,2.71,82.1,222.7
津,2R,1-5-2,4.87,45.7,222.3
津,1R,1-4-3,9.58,23.2,222.3
津,10R,1-4-3,3.55,62.6,222.2
びわこ,2R,1-4-3,4.37,50.7,221.5
蒲郡,12R,4-1-3,2.22,99.5,221.0
蒲郡,9R,4-1-2,8.63,25.6,221.0
丸亀,10R,2-5-1,2.59,85.3,220.6
びわこ,5R,3-1-4,3.22,68.5,220.4
津,7R,1-2-4,10.03,21.9,219.8
桐生,2R,4-1-2,4.60,47.8,219.7
桐生,11R,3-1-2,2.91,75.5,219.5
三国,9R,1-4-2,13.44,16.3,219.0
丸亀,1R,1-3-4,7.93,27.6,219.0
鳴門,10R,1-4-2,3.27,66.9,218.9
蒲郡,9R,2-1-4,4.51,48.5,218.6
多摩川,6R,4-1-2,2.32,93.9,217.5
津,8R,3-1-4,16.81,12.9,216.9
蒲郡,3R,1-2-3,6.67,32.5,216.6
鳴門,11R,4-2-1,3.11,69.5,216.5
唐津,8R,1-5-2,3.45,62.6,216.2
丸亀,8R,2-1-3,2.64,81.5,215.4
津,7R,1-4-2,7.25,29.7,215.3
多摩川,9R,2-1-4,7.54,28.5,214.9
唐津,11R,5-1-4,2.62,82.0,214.5
びわこ,1R,1-2-6,11.00,19.5,214.5
尼崎,10R,4-1-2,8.25,26.0,214.4
尼崎,5R,1-3-4,3.59,59.7,214.3
唐津,9R,2-1-5,2.55,83.9,214.0
びわこ,4R,2-1-3,8.63,24.8,214.0
唐津,12R,3-1-2,5.03,42.5,214.0
唐津,12R,3-1-4,4.55,47.0,213.8
丸亀,9R,2-3-1,2.86,74.8,213.7
多摩川,11R,1-6-4,3.42,62.3,213.2
丸亀,10R,5-2-1,2.40,88.7,213.1
宮島,8R,2-1-4,3.97,53.6,212.7
丸亀,1R,1-3-2,5.39,39.4,212.4
多摩川,9R,2-1-5,3.13,67.6,211.5
蒲郡,2R,2-1-3,3.61,58.5,211.2
蒲郡,8R,1-4-3,4.81,43.9,211.2
三国,6R,1-4-2,7.21,29.2,210.4
鳴門,10R,2-3-1,3.76,56.0,210.3
びわこ,10R,3-1-2,3.27,64.3,210.2
多摩川,1R,2-1-3,2.46,85.4,209.8
尼崎,11R,2-1-3,4.01,52.2,209.2
桐生,8R,2-3-1,3.95,52.9,209.2
三国,6R,1-3-2,2.25,93.1,209.2
多摩川,9R,4-1-2,3.71,56.3,209.0
平和島,1R,1-3-2,2.36,88.4,209.0
平和島,6R,1-5-4,5.63,37.0,208.5
丸亀,11R,1-2-4,15.42,13.5,208.2
多摩川,12R,4-1-2,3.79,55.0,208.2
唐津,7R,3-2-1,8.13,25.6,208.1
三国,1R,2-1-4,3.65,57.0,208.0
三国,12R,3-1-2,5.12,40.6,207.9
多摩川,10R,5-1-4,2.46,84.6,207.9
平和島,3R,5-1-2,2.28,90.9,207.7
多摩川,4R,3-1-2,7.46,27.8,207.5
平和島,2R,1-4-2,5.64,36.7,207.1
宮島,9R,2-1-3,3.04,68.0,206.8
蒲郡,7R,3-4-1,6.13,33.7,206.7
尼崎,6R,3-1-4,2.13,97.2,206.6
びわこ,4R,2-3-1,5.38,38.3,206.2
