date,stadium,race,combo,prob%,odds_at_scan,result_combo,hit,payout,pnl
20260707,12,8,1-4-2,14.91,16.6,1-3-4,×,0,-100
20260707,20,1,2-1-4,7.53,32.7,2-3-4,×,0,-100
20260707,11,1,3-1-4,2.99,82.3,1-5-3,×,0,-100
20260707,12,11,3-4-2,3.23,76.1,2-4-5,×,0,-100
20260707,24,12,4-3-2,2.86,86.0,1-2-3,×,0,-100
20260707,18,8,1-4-3,7.08,34.7,1-3-4,×,0,-100
20260707,01,5,2-1-4,6.23,39.4,6-1-5,×,0,-100
20260707,08,8,2-1-3,14.86,16.5,2-3-6,×,0,-100
20260707,10,2,1-4-2,6.25,39.2,6-2-3,×,0,-100
20260707,10,6,1-4-2,2.57,95.5,5-1-6,×,0,-100
20260707,11,3,1-5-4,3.48,70.4,1-3-4,×,0,-100
20260707,18,4,1-6-2,3.62,67.3,5-4-1,×,0,-100
20260707,05,2,4-1-2,3.74,65.1,1-4-6,×,0,-100
20260707,04,1,2-3-1,3.26,74.4,6-2-3,×,0,-100
20260707,18,2,1-5-4,10.98,22.1,1-3-2,×,0,-100
20260707,13,10,3-1-4,6.86,35.2,1-3-6,×,0,-100
20260707,08,6,4-1-3,3.67,65.6,4-1-2,×,0,-100
20260707,10,7,1-2-3,3.94,60.6,1-3-2,×,0,-100
20260707,01,1,1-2-4,4.09,58.3,2-6-4,×,0,-100
20260707,08,2,1-4-3,4.0,59.6,3-2-1,×,0,-100
20260707,18,11,3-1-4,3.21,74.3,1-4-2,×,0,-100
20260707,02,3,3-2-4,2.5,95.5,4-6-2,×,0,-100
20260707,18,11,4-1-5,2.59,91.9,1-4-2,×,0,-100
20260707,11,4,1-4-3,9.02,26.4,4-2-6,×,0,-100
20260707,05,3,1-3-2,5.91,40.3,1-5-3,×,0,-100
20260707,08,8,1-2-3,8.26,28.8,2-3-6,×,0,-100
20260707,20,9,4-1-5,2.9,81.8,1-3-2,×,0,-100
20260707,10,4,1-4-3,3.64,65.1,1-5-2,×,0,-100
20260707,01,6,3-1-4,3.73,63.4,1-3-2,×,0,-100
20260707,05,2,4-2-1,4.44,52.9,1-4-6,×,0,-100
20260707,05,7,2-4-1,8.07,29.0,4-2-5,×,0,-100
20260707,10,7,1-4-6,3.5,66.9,1-3-2,×,0,-100
20260707,24,2,4-1-3,5.99,39.0,1-4-3,×,0,-100
20260707,13,12,2-3-1,3.4,68.6,1-2-4,×,0,-100
20260707,13,7,1-5-4,7.11,32.6,1-4-5,×,0,-100
20260707,13,1,5-3-1,2.53,91.5,2-1-5,×,0,-100
20260707,04,3,4-3-1,3.86,60.0,3-4-6,×,0,-100
20260707,08,8,2-1-4,7.24,32.0,2-3-6,×,0,-100
20260707,12,7,1-4-2,4.69,49.3,4-5-3,×,0,-100
20260707,12,9,2-1-4,6.21,37.1,1-2-3,×,0,-100
20260707,11,10,1-2-5,3.83,60.1,3-1-4,×,0,-100
20260707,24,12,2-4-1,4.4,52.3,1-2-3,×,0,-100
20260707,12,5,2-1-6,3.01,76.2,2-1-5,×,0,-100
20260707,20,9,1-4-2,10.19,22.5,1-3-2,×,0,-100
20260707,05,8,1-5-3,5.58,41.1,3-1-6,×,0,-100
20260707,13,8,1-5-2,6.79,33.7,1-6-4,×,0,-100
20260707,08,11,1-5-4,5.13,44.5,1-2-6,×,0,-100
20260707,04,5,3-1-2,5.64,40.4,2-3-5,×,0,-100
20260707,05,5,1-5-2,2.48,91.6,1-3-5,×,0,-100
20260707,11,4,4-1-3,2.78,81.6,4-2-6,×,0,-100
20260707,05,6,4-3-1,8.17,27.8,5-4-1,×,0,-100
20260707,08,7,2-1-6,3.16,71.7,6-4-2,×,0,-100
20260707,13,8,1-4-5,6.49,34.9,1-6-4,×,0,-100
20260707,10,5,2-1-4,4.65,48.7,4-1-2,×,0,-100
20260707,02,3,3-4-2,2.7,83.8,4-6-2,×,0,-100
20260707,18,9,1-4-3,4.83,46.8,3-1-5,×,0,-100
20260707,18,3,1-2-3,9.3,24.3,6-1-4,×,0,-100
20260707,20,2,4-2-3,2.55,88.4,2-1-6,×,0,-100
20260707,08,4,5-4-1,2.71,83.1,1-3-5,×,0,-100
20260707,11,2,1-5-3,3.45,65.2,1-4-3,×,0,-100
20260707,04,4,1-3-5,5.52,40.7,3-4-1,×,0,-100
20260707,01,5,2-1-5,7.8,28.8,6-1-5,×,0,-100
20260707,11,1,3-1-2,2.78,80.8,1-5-3,×,0,-100
20260707,02,11,4-1-3,4.35,51.5,1-2-4,×,0,-100
20260707,08,6,2-1-4,2.27,98.6,4-1-2,×,0,-100
20260707,20,3,1-5-2,2.84,79.0,1-3-2,×,0,-100
20260707,01,2,1-3-5,3.12,71.8,3-2-5,×,0,-100
20260707,05,8,1-2-4,2.86,77.4,3-1-6,×,0,-100
20260707,01,5,1-2-3,3.65,60.6,6-1-5,×,0,-100
20260707,05,11,1-4-3,4.6,48.1,5-3-2,×,0,-100
20260707,11,1,1-4-3,6.56,33.7,1-5-3,×,0,-100
20260707,05,3,2-1-3,3.6,61.3,1-5-3,×,0,-100
20260707,18,5,1-4-3,6.68,33.0,1-3-5,×,0,-100
20260707,18,11,1-5-4,2.35,93.5,1-4-2,×,0,-100
20260707,24,8,1-3-2,7.22,30.4,2-1-5,×,0,-100
20260707,08,10,1-2-3,8.5,25.8,3-1-2,×,0,-100
20260707,02,1,2-1-4,3.16,69.3,4-1-5,×,0,-100
20260707,20,2,1-3-4,5.16,42.4,2-1-6,×,0,-100
20260707,05,4,1-4-5,2.6,84.0,2-1-6,×,0,-100
20260707,08,10,1-3-2,9.13,23.8,3-1-2,×,0,-100
20260707,01,4,3-1-2,2.4,90.4,2-3-4,×,0,-100
20260707,01,4,3-2-1,3.46,62.7,2-3-4,×,0,-100
20260707,12,12,2-1-3,4.56,47.5,2-3-1,×,0,-100
20260707,05,7,1-4-2,8.33,26.0,4-2-5,×,0,-100
20260707,20,6,1-3-5,6.73,32.2,6-3-1,×,0,-100
20260707,04,8,4-1-2,2.35,92.3,2-1-5,×,0,-100
20260707,01,5,1-2-5,5.41,40.0,6-1-5,×,0,-100
20260707,05,8,1-4-3,3.92,55.2,3-1-6,×,0,-100
20260707,13,3,4-1-3,2.57,84.2,2-1-3,×,0,-100
20260707,24,3,4-2-1,2.35,91.6,2-5-4,×,0,-100
20260707,04,9,3-4-1,4.83,44.6,1-4-3,×,0,-100
20260707,10,9,1-3-2,14.16,15.2,1-5-6,×,0,-100
20260707,04,3,4-1-3,3.06,70.1,3-4-6,×,0,-100
20260707,04,7,1-4-3,3.43,62.4,1-6-4,×,0,-100
20260707,24,6,4-2-1,5.93,36.1,2-3-1,×,0,-100
20260707,08,2,1-3-4,4.08,52.3,3-2-1,×,0,-100
20260707,12,11,4-1-3,2.35,90.6,2-4-5,×,0,-100
20260707,24,4,1-4-5,9.52,22.4,4-1-5,×,0,-100
20260707,04,7,1-3-2,5.29,40.3,1-6-4,×,0,-100
20260707,20,10,2-4-1,2.28,93.4,1-4-3,×,0,-100
20260707,04,1,1-2-3,4.39,48.4,6-2-3,×,0,-100
20260707,24,12,1-2-4,3.59,59.1,1-2-3,×,0,-100
20260707,20,4,3-1-2,12.11,17.5,3-5-2,×,0,-100
20260707,08,5,2-3-1,3.0,70.7,4-5-6,×,0,-100
20260707,12,8,1-2-4,10.53,20.1,1-3-4,×,0,-100
20260707,04,4,3-1-2,5.87,36.0,3-4-1,×,0,-100
20260707,18,11,1-4-3,12.15,17.4,1-4-2,×,0,-100
20260707,20,8,1-5-3,5.47,38.4,2-6-1,×,0,-100
20260707,10,12,5-1-2,2.64,79.7,1-2-4,×,0,-100
20260707,10,10,3-2-1,3.78,55.6,3-5-1,×,0,-100
20260707,02,1,4-1-2,4.27,49.1,4-1-5,×,0,-100
20260707,20,3,1-2-5,6.98,30.0,1-3-2,×,0,-100
20260707,12,4,1-3-5,2.14,97.7,1-2-3,×,0,-100
20260707,01,8,5-1-3,3.89,53.6,1-2-3,×,0,-100
20260707,11,4,3-1-4,3.53,59.2,4-2-6,×,0,-100
20260707,08,10,1-5-6,3.19,65.3,3-1-2,×,0,-100
20260707,11,1,1-3-5,2.87,72.4,1-5-3,×,0,-100
20260707,24,1,5-3-2,2.19,94.8,3-4-1,×,0,-100
20260707,24,1,3-2-1,3.3,63.1,3-4-1,×,0,-100
20260707,11,12,2-1-5,2.98,69.6,1-3-5,×,0,-100
20260707,13,6,1-5-3,2.08,99.5,1-5-6,×,0,-100
20260707,13,5,3-5-1,2.86,72.4,3-1-2,×,0,-100
20260707,04,7,1-3-4,5.02,41.2,1-6-4,×,0,-100
20260707,08,11,1-5-2,7.52,27.5,1-2-6,×,0,-100
20260707,20,4,2-3-1,10.14,20.4,3-5-2,×,0,-100
20260707,24,1,5-3-1,2.08,99.6,3-4-1,×,0,-100
20260707,24,12,1-3-2,2.9,71.3,1-2-3,×,0,-100
20260707,12,3,1-3-2,4.34,47.6,4-6-2,×,0,-100
